iter	MultiClass
0	0.9227164058
1	0.8081340819
2	0.7199400337
3	0.651470338844	0.597150601855	0.55195791636	0.510788952377	0.480409277288	0.4518438042999	0.4194678491110	0.3933935501111	0.3749896912112	0.3553242771
13	0.3391041493
14	0.3235999637
15	0.3072036642
16	0.2972054817	17	0.284740718	0.2829572638
19	0.2705174247
20	0.2628901981
21	0.2544403668
2222	0.2482344292323	0.2410180752424	0.2333670832525	0.2264033012626	0.21907193927	0.2123912298
28	0.2071628282
29	0.2005214781
30	0.1948765351
31	0.1871585324
32	0.1825387048
33	0.1774211979
34	0.1721530527
35	0.1675707864
36	0.1631846424
37	0.1594167367
38	0.1552076812
39	0.151715451
40	0.1477749059
41	0.1442395222
42	0.1406289098
43	0.1380857414
44	0.1353348132
45	0.1321112273
46	0.1291844038
47	0.1268638965
48	0.1245938792
49	0.1219350753
50	0.1187768027
51	0.1161337241
52	0.1140558124
53	0.1123794486
54	0.1104090235
55	0.1083369497
56	0.1061347683
57	0.1044468685
58	0.1028317762
59	0.1011939856
60	0.09963133363
61	0.09826295707
62	0.09685312861
63	0.09496177986
64	0.09388153982
65	0.09263084089
66	0.09134548035
67	0.09015863187
68	0.08887867156
69	0.08769046324
70	0.08646433104
71	0.08537056725
72	0.08438604775
73	0.08315380382
74	0.08228687111
75	0.08119847272
76	0.08027246918
77	0.07940109221
78	0.07846010715
79	0.0775976848
80	0.07677570253
81	0.07589993143
82	0.07511938593
83	0.07389943595
84	0.0730851517
85	0.07237712035
86	0.07131031091
87	0.07037789201
88	0.06957671389
89	0.06874957062
90	0.06796952287
91	0.06742071659
92	0.06670472225
93	0.06604373681
94	0.06548912733
95	0.06492262072
96	0.06427860786
97	0.0637829093
98	0.06306149028
99	0.06245450554
100	0.06184939536
101	0.06138027464
102	0.06092645143
103	0.06044911652
104	0.05982171522
105	0.05918352467
106	0.05879030385
107	0.05813936912
108	0.05775250691
109	0.05721426172
110	0.05675931809
111	0.05617559341
112	0.05569547202
113	0.05513367029
114	0.05461852093
115	0.05423037823
116	0.0537379396
117	0.0532059069
118	0.05269892732
119	0.0522761120	0120	0.0517211121	0.05157944487
122	0.0511694781
123	0.05070175018
124	0.05034787093
125	0.0499881496
126	0.04948058152
127	0.04907809647
128	0.04868565042
129	0.04826539561
130	0.04784765383
131	0.04743154011
132	0.04712212089
133	0.04677383444
134	0.04645722104
135	0.04618408389
136	0.04588628266
137	0.04556103113
138	0.04524225024
139	0.04492012739
140	0.04453422301
141	0.04424647029
142	0.04394980813
143	0.04362539257
144	0.04329889989
145	0.04303259659
146	0.04272974848
147	0.04242840983
148	0.04213212801
149	0.04185400856
150	0.04155048314
151	0.04124923736
152	0.04101425508
153	0.04062834742
154	0.04043565176
155	0.04022342032
156	0.0398567174
157	0.03960466857
158	0.0393756052
159	0.03910842319
160	0.03880661669
161	0.03854132987
162	0.03828561939
163	0.03802979974
164	0.03775411462
165	0.03746520831
166	0.03723177521
167	0.03703874911
168	0.036840606
169	0.0365975004
170	0.03631903481
171	0.03612896648
172	0.03586588325
173	0.03569825322
174	0.03554869232
175	0.03533432333
176	0.03515412872
177	0.03497981689
178	0.03482641717
179	0.0346458868
180	0.03448035265
181	0.0342981963
182	0.03409591101
183	0.03392809851
184	0.03377790253
185	0.0335844362
186	0.03341156672
187	0.03317874806
188	0.03295871868
189	0.03279798732
190	0.03264124777
191	0.03247085634
192	0.03227986268
193	0.0320633542
194	0.03194668755
195	0.03178061261
196	0.03160628098
197	0.03144045353
198	0.03129057484
199	0.03114102173
200	0.03096350946
201	0.03084160586
202	0.03068127267
203	0.03054858476
204	0.03039879452
205	0.03023912711
206	0.03006590166
207	0.02989674221
208	0.02973487126
209	0.02956691919
210	0.0294306429
211	0.02928538092
212	0.02911733221
213	0.02894407555
214	0.02882653473
215	0.02867169404
216	0.02853797089
217	0.0218	0.02752218	0.02826682625
219	0.02814775246
220	0.02802688191
221	0.222	0.026886222	0.223	0.026803223	0.02768935879
224	0.02753172027
225	0.02740563638
226	0.227	0.026300227	0.228	0.026151228	0.229	0.026038229	0.230	0.02591147716
231	0.025752231	0232	0.02561709876
233	0.02548308358
234	0.02536542097
235	0.02523253343
236	0.02509389792
237	0.02500099834
238	0.02488125264
239	0.02475143742
240	0.0246304425
241	0.02450438616
242	0.0243973548
243	0.02428227243	244	0.02418228244	0.02509447241
245	0.02499171963
246	0.02486480392
247	0.02476386506
248	0.02468225934
249	0.02457744832
250	0.02447613555
251	0.02438203512
252	0.02426535544
253	0.02412350761
254	0.02402925326
255	0.02394059023
256	0.02383530284
257	0.02372222495
258	0.02363071288
259	0.02354738935
260	0.02348209935
261	0.02337939609
262	0.02328166382
263	0.02320805463
264	0.02312336759
265	0.02302845993
266	0.02292880521
267	0.02281610564
268	0.02272622795
269	0.02265579889
270	0.0225489971
271	0.02246943358
272	0.02237725003
273	0.02230979178
274	0.02222180924
275	0.02213469902
276	0.02206209511
277	0.02199810948
278	0.02192135578
279	0.02184729091
280	0.02178594527
281	0.02172360071
282	0.02160633905
283	0.02151936641
284	0.02142990766
285	0.02133649501
286	0.02124430333
287	0.02116393635
288	0.02106462643
289	0.02099734678
290	0.0209200725
291	0.02086606647
292	0.02079226993
293	0.02072088557
294	0.0206369319
295	0.02055031893
296	0.0204891634
297	0.02040868194
298	0.02032701577
299	0.02026035447
3

