feature,importance
Hour,0.13170318501157946
Vehicle_Age,0.12480150384027894
Month,0.09836735376020873
Environmental_Risk,0.08863264888545079
Speed_limit,0.08101044110931901
Day_of_Week,0.07083336346313271
Number_of_Vehicles,0.06976649173135083
Number_of_Casualties,0.06089120834048004
Junction_Risk,0.055285666348168755
Road_Risk_Score,0.05420732333528659
Weather_Risk_Score,0.052265064894454386
Light_Risk_Score,0.03969831632210791
Urban_or_Rural_Area,0.025744052625802073
Is_Rush_Hour,0.01821126855506932
Is_Old_Vehicle,0.014404378322916514
Is_Weekend,0.014177733454393871
Location_Accident_Count,0.0
